Dirty white,0.91,0.89,0.79
Dodger blue,0.12,0.56,1
Dodie yellow,1,0.96,0.36
Dogwood rose,0.84,0.09,0.41
Dollar bill,0.52,0.73,0.4
Dolphin gray,0.51,0.56,0.52
Douban Blue,0.14,0.59,0.8
Douban Green,0.18,0.59,0.24
Douban Light Yellow,0.97,0.77,0.56
Drab,0.59,0.44,0.09
Duke blue,0,0,0.61
Durian,0.69,0.47,0.22
Durian White,0.9,0.82,0.67
Durian Yellow,0.88,0.74,0.15
Dust storm,0.9,0.8,0.79
Dutch white,0.94,0.87,0.73
Earthtone,0.36,0.23,0.1
Earth yellow,0.88,0.66,0.37
Ebony,0.33,0.36,0.31
Ecru,0.76,0.7,0.5
Eerie black,0.11,0.11,0.11
Eggplant,0.38,0.25,0.32
Eggshell,0.94,0.92,0.84
Egyptian blue,0.06,0.2,0.65
Elderberry,0.09,0.09,0.17
Electric blue,0.49,0.98,1
Electric brown,0.71,0.38,0.34
Electric crimson,1,0,0.25
Electric cyan,0,1,1
Electric green,0,1,0
Electric indigo,0.44,0,1
Electric lavender,0.96,0.73,1
Electric lime,0.8,1,0
Electric orange,1,0.21,0.01
Electric pink,0.96,0.15,0.51
Electric purple,0.75,0,1
Electric red,0.9,0,0
Electric ultramarine,0.25,0,1
Electric violet,0.56,0,1
Electric yellow,1,1,0.2
Emerald,0.31,0.78,0.47
Emerald green,0.02,0.39,0.03
Eminence,0.42,0.19,0.51
English green,0.11,0.3,0.24
English lavender,0.71,0.51,0.58
English red,0.67,0.29,0.32
English vermillion,0.8,0.28,0.29
English violet,0.34,0.24,0.36
Eton blue,0.59,0.78,0.64
Eucalyptus,0.27,0.84,0.66
Facebook Blue,0.22,0.34,0.61
Fallow,0.76,0.6,0.42
Falu red,0.5,0.09,0.09
Fandango,0.71,0.2,0.54
Fandango pink,0.87,0.32,0.52
Fashion fuchsia,0.96,0,0.63
Fawn,0.9,0.67,0.44
Feldgrau,0.3,0.36,0.33
Feldspar,0.99,0.84,0.69
Fern green,0.31,0.47,0.26
Ferrari red,1,0.16,0
Field drab,0.42,0.33,0.12
Fiery rose,1,0.33,0.44
Firebrick,0.7,0.13,0.13
Fire engine red,0.81,0.13,0.16
Fire opal,0.91,0.36,0.29
Flame,0.89,0.35,0.13
Flamingo pink,0.99,0.56,0.67
Flattery,0.42,0.27,0.14
Flavescent[2],0.97,0.91,0.56
Flax,0.93,0.86,0.51
Flesh,1,0.91,0.82
Flickr Blue,0.13,0.42,0.84
Flickr Pink,0.98,0,0.51
Flirt,0.64,0,0.43
Floral white,1,0.98,0.94
Flower girl,0.96,0.6,0.68
Fluorescent blue,0.08,0.96,0.93
Fluorescent orange,1,0.75,0
Fluorescent pink,1,0.08,0.58
Fluorescent yellow,0.8,1,0
Folly,1,0,0.31
Forest green (Crayola),0.37,0.65,0.47
Forest green (traditional),0,0.27,0.13
Forest green (web),0.13,0.55,0.13
French beige,0.65,0.48,0.36
French bistre,0.52,0.43,0.3
French blue,0,0.45,0.73
French fuchsia,0.99,0.25,0.57
French lilac,0.53,0.38,0.56
French lime,0.62,0.99,0.22
French mauve,0.83,0.45,0.83
French pink,0.99,0.42,0.62
French plum,0.51,0.08,0.33
French puce,0.31,0.09,0.04
French raspberry,0.78,0.17,0.28
French rose,0.96,0.29,0.54
French sky blue,0.47,0.71,1
French violet,0.53,0.02,0.81
French wine,0.67,0.12,0.27
Fresh Air,0.65,0.91,1
Frostbite,0.91,0.21,0.65
Fuchsia,1,0,1
Fuchsia (Crayola),0.76,0.33,0.76
Fuchsia pink,1,0.47,1
Fuchsia purple,0.8,0.22,0.48
Fuchsia rose,0.78,0.26,0.46
Fulvous,0.89,0.52,0
Fuzzy Wuzzy,0.8,0.4,0.4
Gainsboro,0.86,0.86,0.86
Gamboge,0.89,0.61,0.06
Gamboge orange (brown),0.6,0.4,0
